date,status,source,device
2/22/2017,RX,Other,Tablet
1/6/2017,CON,Google,Tablet
1/12/2017,CON,Facebook,Mobile
12/13/2016,CON,Other,Mobile
12/6/2016,SIT,Google,Mobile
12/5/2016,CON,Google,Tablet
1/31/2017,CON,Facebook,Desktop
1/22/2017,SIT,Google,Tablet
1/22/2017,REG,Facebook,Desktop
12/5/2016,SIT,Facebook,Tablet
12/14/2016,RX,Google,Mobile
12/21/2016,RX,Other,Desktop
2/27/2017,CON,Google,Tablet
1/24/2017,CON,Other,Desktop
2/12/2017,SIT,Other,Mobile
12/1/2016,CON,Other,Tablet
2/23/2017,RX,Google,Tablet
2/27/2017,RX,Facebook,Tablet
2/21/2017,RX,Facebook,Mobile
1/12/2017,REG,Facebook,Tablet
1/25/2017,RX,Facebook,Mobile
1/16/2017,RX,Facebook,Tablet
2/3/2017,SIT,Other,Mobile
1/10/2017,CON,Other,Tablet
2/16/2017,SIT,Google,Mobile
1/27/2017,REG,Google,Mobile
1/3/2017,REG,Facebook,Mobile
2/12/2017,RX,Facebook,Desktop
12/10/2016,REG,Other,Tablet
2/27/2017,CON,Other,Tablet
1/9/2017,CON,Google,Mobile
2/23/2017,REG,Facebook,Mobile
2/20/2017,SIT,Facebook,Tablet
2/13/2017,RX,Google,Mobile
2/1/2017,CON,Google,Desktop
2/24/2017,CON,Other,Tablet
2/2/2017,REG,Google,Mobile
2/14/2017,REG,Google,Desktop
1/7/2017,REG,Other,Mobile
12/12/2016,RX,Google,Tablet
1/16/2017,REG,Facebook,Desktop
1/26/2017,SIT,Facebook,Desktop
12/25/2016,REG,Other,Tablet
1/14/2017,SIT,Google,Tablet
1/25/2017,REG,Other,Tablet
12/2/2016,RX,Google,Desktop
1/24/2017,RX,Other,Desktop
12/21/2016,SIT,Google,Mobile
1/12/2017,REG,Other,Tablet
2/19/2017,REG,Other,Mobile
1/28/2017,CON,Other,Mobile
2/8/2017,SIT,Google,Mobile
1/29/2017,SIT,Google,Tablet
1/18/2017,SIT,Other,Tablet
1/19/2017,CON,Google,Mobile
2/3/2017,REG,Other,Desktop
12/25/2016,REG,Other,Tablet
12/14/2016,RX,Google,Desktop
1/15/2017,RX,Other,Desktop
12/2/2016,SIT,Google,Desktop
2/19/2017,REG,Google,Mobile
12/6/2016,REG,Other,Mobile
12/30/2016,SIT,Google,Tablet
2/7/2017,RX,Facebook,Mobile
12/10/2016,RX,Other,Desktop
12/19/2016,CON,Other,Mobile
2/19/2017,CON,Google,Desktop
12/23/2016,CON,Google,Tablet
12/25/2016,REG,Other,Desktop
1/30/2017,REG,Other,Desktop
2/1/2017,RX,Facebook,Mobile
12/31/2016,CON,Other,Desktop
1/29/2017,RX,Facebook,Desktop
12/8/2016,RX,Facebook,Tablet
12/14/2016,RX,Other,Desktop
1/31/2017,CON,Google,Tablet
2/16/2017,CON,Facebook,Tablet
12/26/2016,REG,Google,Desktop
2/15/2017,REG,Other,Desktop
2/20/2017,CON,Google,Desktop
12/8/2016,CON,Facebook,Tablet
12/4/2016,CON,Other,Mobile
2/20/2017,RX,Google,Desktop
1/21/2017,SIT,Other,Tablet
1/3/2017,SIT,Google,Desktop
12/22/2016,RX,Google,Mobile
12/31/2016,REG,Other,Desktop
12/17/2016,REG,Facebook,Mobile
1/24/2017,REG,Facebook,Desktop
12/22/2016,REG,Facebook,Mobile
2/25/2017,SIT,Google,Tablet
2/28/2017,REG,Google,Desktop
2/16/2017,REG,Other,Tablet
12/20/2016,RX,Other,Tablet
12/21/2016,SIT,Google,Tablet
2/15/2017,REG,Facebook,Tablet
2/27/2017,REG,Google,Desktop
2/1/2017,SIT,Other,Desktop
2/18/2017,SIT,Other,Tablet
2/19/2017,SIT,Other,Mobile
12/25/2016,CON,Facebook,Tablet
2/27/2017,CON,Google,Mobile
12/8/2016,RX,Other,Tablet
2/10/2017,RX,Facebook,Tablet
2/13/2017,RX,Google,Tablet
12/10/2016,REG,Facebook,Tablet
12/4/2016,CON,Google,Mobile
2/27/2017,CON,Other,Desktop
2/16/2017,RX,Other,Desktop
2/12/2017,RX,Google,Desktop
1/11/2017,CON,Facebook,Tablet
12/2/2016,SIT,Facebook,Desktop
2/14/2017,SIT,Google,Tablet
12/9/2016,REG,Google,Mobile
1/19/2017,RX,Google,Mobile
12/20/2016,SIT,Google,Tablet
1/23/2017,RX,Other,Desktop
2/19/2017,RX,Facebook,Mobile
2/28/2017,SIT,Other,Mobile
1/10/2017,RX,Facebook,Desktop
12/26/2016,RX,Other,Tablet
12/29/2016,REG,Facebook,Desktop
1/25/2017,REG,Facebook,Desktop
12/30/2016,SIT,Google,Tablet
2/24/2017,RX,Other,Tablet
12/20/2016,CON,Other,Mobile
2/14/2017,RX,Facebook,Tablet
2/27/2017,SIT,Google,Tablet
12/21/2016,CON,Other,Mobile
1/16/2017,SIT,Google,Tablet
12/27/2016,REG,Facebook,Tablet
1/29/2017,RX,Google,Mobile
2/23/2017,CON,Google,Mobile
1/27/2017,CON,Other,Tablet
2/14/2017,CON,Facebook,Tablet
1/10/2017,REG,Other,Mobile
1/27/2017,REG,Google,Tablet
1/20/2017,SIT,Other,Tablet
12/13/2016,SIT,Facebook,Desktop
12/18/2016,CON,Facebook,Desktop
12/29/2016,SIT,Other,Desktop
2/26/2017,SIT,Facebook,Tablet
2/24/2017,RX,Other,Desktop
12/23/2016,REG,Google,Tablet
12/11/2016,RX,Other,Tablet
2/3/2017,SIT,Google,Tablet
12/30/2016,RX,Other,Tablet
1/2/2017,REG,Google,Desktop
2/27/2017,REG,Other,Mobile
12/22/2016,CON,Facebook,Tablet
2/24/2017,RX,Facebook,Mobile
2/7/2017,REG,Other,Desktop
1/28/2017,SIT,Google,Mobile
2/26/2017,REG,Facebook,Mobile
12/5/2016,REG,Facebook,Mobile
1/12/2017,RX,Other,Mobile
1/9/2017,REG,Facebook,Tablet
1/31/2017,RX,Facebook,Desktop
2/8/2017,SIT,Google,Desktop
2/27/2017,SIT,Facebook,Tablet
12/29/2016,CON,Google,Tablet
1/11/2017,REG,Facebook,Desktop
2/15/2017,CON,Google,Mobile
12/8/2016,RX,Google,Mobile
2/28/2017,REG,Google,Desktop
2/27/2017,RX,Other,Tablet
12/14/2016,RX,Google,Mobile
1/24/2017,CON,Other,Tablet
1/20/2017,CON,Google,Mobile
2/15/2017,CON,Facebook,Tablet
2/16/2017,RX,Facebook,Tablet
2/1/2017,REG,Google,Desktop
1/23/2017,REG,Other,Tablet
2/15/2017,REG,Other,Tablet
12/15/2016,CON,Other,Tablet
12/3/2016,REG,Google,Tablet
12/10/2016,SIT,Facebook,Mobile
12/25/2016,CON,Other,Mobile
2/6/2017,SIT,Facebook,Mobile
2/23/2017,RX,Facebook,Tablet
12/27/2016,CON,Other,Mobile
12/25/2016,REG,Facebook,Desktop
2/10/2017,REG,Facebook,Desktop
12/19/2016,REG,Other,Tablet
12/25/2016,CON,Google,Desktop
12/5/2016,RX,Other,Tablet
12/30/2016,SIT,Google,Mobile
12/9/2016,SIT,Google,Tablet
1/14/2017,REG,Other,Desktop
2/12/2017,SIT,Other,Desktop
12/10/2016,SIT,Other,Desktop
2/24/2017,RX,Google,Mobile
2/26/2017,REG,Facebook,Tablet
1/21/2017,RX,Google,Tablet
1/12/2017,CON,Other,Mobile
12/26/2016,RX,Facebook,Mobile
1/5/2017,CON,Facebook,Tablet
12/3/2016,RX,Google,Tablet
1/23/2017,SIT,Other,Tablet
12/12/2016,CON,Other,Desktop
2/7/2017,REG,Google,Mobile
1/16/2017,SIT,Facebook,Mobile
12/13/2016,REG,Google,Desktop
1/16/2017,SIT,Facebook,Tablet
1/2/2017,REG,Google,Mobile
2/24/2017,SIT,Google,Tablet
1/27/2017,RX,Facebook,Desktop
2/8/2017,CON,Google,Desktop
2/13/2017,SIT,Other,Tablet
2/16/2017,SIT,Google,Tablet
2/10/2017,CON,Facebook,Mobile
2/22/2017,RX,Other,Tablet
1/19/2017,REG,Google,Tablet
12/4/2016,SIT,Other,Tablet
1/14/2017,RX,Google,Desktop
1/2/2017,REG,Facebook,Mobile
12/29/2016,RX,Google,Mobile
12/13/2016,RX,Other,Mobile
12/14/2016,CON,Google,Mobile
1/18/2017,REG,Google,Tablet
12/3/2016,REG,Facebook,Tablet
1/25/2017,SIT,Other,Mobile
12/14/2016,SIT,Google,Tablet
2/16/2017,RX,Google,Desktop
1/6/2017,CON,Other,Tablet
1/18/2017,CON,Facebook,Tablet
12/6/2016,SIT,Other,Tablet
2/7/2017,REG,Google,Desktop
1/8/2017,REG,Other,Desktop
1/27/2017,SIT,Google,Desktop
1/4/2017,CON,Google,Tablet
12/28/2016,REG,Google,Tablet
1/28/2017,CON,Other,Desktop
1/19/2017,CON,Google,Desktop
1/28/2017,REG,Facebook,Desktop
2/9/2017,CON,Google,Desktop
12/12/2016,RX,Other,Mobile
1/18/2017,REG,Google,Desktop
12/5/2016,CON,Other,Desktop
12/16/2016,CON,Facebook,Desktop
1/15/2017,SIT,Facebook,Desktop
12/28/2016,CON,Other,Mobile
12/29/2016,RX,Other,Tablet
1/23/2017,SIT,Facebook,Tablet
12/10/2016,SIT,Facebook,Mobile
2/15/2017,SIT,Other,Tablet
1/21/2017,CON,Other,Desktop
2/7/2017,CON,Facebook,Mobile
12/25/2016,REG,Other,Mobile
12/1/2016,SIT,Facebook,Desktop
2/4/2017,CON,Google,Tablet
1/14/2017,SIT,Facebook,Desktop
1/3/2017,CON,Other,Tablet
2/27/2017,REG,Facebook,Tablet
12/19/2016,RX,Other,Tablet
12/25/2016,SIT,Google,Tablet
1/23/2017,RX,Other,Tablet
2/15/2017,SIT,Facebook,Desktop
2/19/2017,RX,Google,Desktop
12/21/2016,RX,Facebook,Tablet
1/13/2017,SIT,Google,Mobile
2/18/2017,CON,Google,Mobile
12/24/2016,RX,Facebook,Tablet
12/8/2016,RX,Facebook,Tablet
1/18/2017,CON,Facebook,Tablet
1/26/2017,SIT,Facebook,Desktop
12/25/2016,CON,Other,Mobile
12/8/2016,CON,Other,Tablet
2/23/2017,REG,Other,Mobile
2/6/2017,CON,Google,Desktop
12/25/2016,CON,Other,Tablet
1/21/2017,RX,Facebook,Mobile
2/1/2017,REG,Other,Mobile
12/18/2016,CON,Other,Desktop
2/4/2017,SIT,Facebook,Mobile
12/10/2016,RX,Facebook,Tablet
12/14/2016,SIT,Facebook,Tablet
2/12/2017,SIT,Google,Tablet
12/8/2016,RX,Other,Mobile
1/11/2017,REG,Google,Tablet
2/27/2017,CON,Facebook,Mobile
1/9/2017,SIT,Other,Tablet
2/14/2017,CON,Facebook,Tablet
12/31/2016,REG,Google,Desktop
2/5/2017,CON,Facebook,Tablet
12/11/2016,CON,Other,Tablet
12/25/2016,CON,Other,Desktop
1/23/2017,CON,Facebook,Tablet
2/25/2017,SIT,Facebook,Desktop
12/13/2016,SIT,Other,Mobile
2/25/2017,REG,Facebook,Desktop
12/6/2016,RX,Google,Mobile
2/2/2017,REG,Other,Tablet
12/31/2016,REG,Facebook,Mobile
12/3/2016,RX,Other,Tablet
2/18/2017,RX,Google,Tablet
12/1/2016,CON,Other,Desktop
2/10/2017,CON,Google,Tablet
2/27/2017,REG,Google,Tablet
12/6/2016,REG,Google,Tablet
12/31/2016,RX,Facebook,Mobile
2/22/2017,CON,Facebook,Desktop
1/17/2017,REG,Other,Desktop
1/11/2017,REG,Google,Mobile
1/3/2017,RX,Google,Desktop
1/23/2017,CON,Facebook,Desktop
1/5/2017,SIT,Google,Mobile
2/24/2017,SIT,Other,Tablet
2/11/2017,SIT,Google,Tablet
12/30/2016,REG,Other,Tablet
2/11/2017,REG,Facebook,Desktop
12/24/2016,RX,Other,Desktop
1/2/2017,RX,Google,Desktop
12/13/2016,REG,Facebook,Mobile
1/25/2017,CON,Google,Desktop
12/19/2016,REG,Google,Mobile
1/25/2017,RX,Other,Mobile
2/9/2017,REG,Google,Desktop
1/30/2017,SIT,Other,Mobile
1/21/2017,RX,Other,Desktop
1/26/2017,SIT,Other,Desktop
12/16/2016,CON,Facebook,Tablet
1/12/2017,CON,Other,Tablet
2/12/2017,REG,Facebook,Mobile
1/23/2017,RX,Other,Desktop
12/21/2016,SIT,Facebook,Tablet
12/15/2016,CON,Facebook,Mobile
12/21/2016,SIT,Other,Mobile
2/26/2017,CON,Other,Tablet
12/23/2016,REG,Other,Desktop
2/22/2017,CON,Other,Tablet
12/16/2016,REG,Google,Tablet
2/14/2017,REG,Facebook,Tablet
12/14/2016,SIT,Facebook,Tablet
12/7/2016,SIT,Facebook,Mobile
2/28/2017,CON,Google,Mobile
1/29/2017,SIT,Other,Tablet
12/2/2016,CON,Google,Mobile
2/12/2017,RX,Other,Desktop
2/10/2017,REG,Facebook,Mobile
12/4/2016,SIT,Facebook,Tablet
2/9/2017,RX,Other,Mobile
12/23/2016,CON,Facebook,Tablet
2/16/2017,REG,Google,Tablet
1/3/2017,SIT,Google,Tablet
2/12/2017,CON,Google,Desktop
1/16/2017,CON,Facebook,Tablet
2/20/2017,CON,Google,Desktop
2/12/2017,RX,Facebook,Tablet
12/11/2016,CON,Other,Desktop
1/2/2017,REG,Google,Mobile
12/25/2016,SIT,Other,Mobile
2/14/2017,REG,Google,Tablet
1/8/2017,REG,Other,Mobile
12/3/2016,RX,Other,Tablet
12/2/2016,RX,Facebook,Desktop
12/2/2016,SIT,Facebook,Desktop
12/15/2016,SIT,Other,Mobile
2/14/2017,SIT,Other,Tablet
12/18/2016,SIT,Other,Desktop
12/19/2016,REG,Other,Tablet
1/2/2017,RX,Google,Tablet
1/16/2017,REG,Google,Tablet
12/22/2016,REG,Google,Mobile
2/14/2017,RX,Other,Tablet
2/3/2017,CON,Other,Mobile
1/19/2017,SIT,Other,Tablet
1/21/2017,REG,Other,Desktop
1/17/2017,REG,Google,Tablet
1/19/2017,CON,Google,Mobile
1/30/2017,CON,Google,Desktop
2/24/2017,CON,Other,Mobile
12/21/2016,SIT,Other,Mobile
2/3/2017,RX,Other,Tablet
1/2/2017,CON,Other,Desktop
